x1,x2,x3,x4,x5,x6,x7
63.75,0,4,53,401,148,27
64.0,0,1,48,386,110,40
64.25,1,2,46,400,138,48
64.5,1,1,36,347,100,33
64.75,1,2,36,349,114,26
65.0,2,1,42,345,140,33
65.25,1,1,36,344,132,29
65.5,2,1,44,326,133,33
65.75,2,0,42,348,128,36
66.0,1,2,38,337,126,36
66.25,1,1,44,336,118,24
66.5,0,1,41,351,122,25
66.75,2,3,44,307,104,29
67.0,1,3,41,308,127,31
67.25,0,1,47,304,116,26
67.5,0,2,40,312,118,35
67.75,0,2,32,326,111,35
68.0,1,0,35,309,111,27
68.25,0,4,51,325,107,36
68.5,1,2,34,293,119,31
68.75,2,2,31,307,116,33
69.0,1,3,43,322,122,26
69.25,1,2,32,293,105,30
69.5,2,1,27,295,112,23
69.75,3,0,42,326,105,37
70.0,1,2,39,255,102,31
70.25,3,2,35,283,97,29
70.5,0,0,33,325,99,28
70.75,3,0,43,264,103,35
71.0,2,0,43,273,107,33
71.25,2,0,32,278,93,32
71.5,0,1,31,321,105,24
71.75,0,3,41,286,108,32
72.0,0,1,31,280,116,30
72.25,1,1,20,277,97,27
72.5,1,1,32,303,98,24
72.75,1,2,25,297,97,31
73.0,2,2,34,280,96,25
73.25,2,2,23,281,117,23
73.5,1,2,37,247,102,31
73.75,1,1,48,266,89,26
74.0,0,1,28,256,90,25
74.25,0,1,28,260,90,22
74.5,1,1,30,287,95,30
74.75,1,2,30,238,101,24
75.0,0,2,33,245,101,36
75.25,1,1,33,224,99,23
75.5,0,1,22,279,98,39
75.75,0,3,33,251,89,31
76.0,2,0,33,275,87,33
76.25,2,2,26,255,88,30
76.5,1,2,26,277,69,22
76.75,1,0,30,222,81,22
77.0,0,0,26,242,96,29
77.25,2,1,33,230,74,28
77.5,0,0,28,270,92,26
77.75,1,1,26,232,96,22
78.0,0,1,26,229,82,29
78.25,1,3,23,240,93,27
78.5,0,4,21,234,106,21
78.75,3,1,30,253,93,25
79.0,1,1,23,231,80,25
79.25,1,1,27,227,78,25
79.5,2,3,23,229,83,23
79.75,0,1,19,214,86,34
80.0,2,1,22,208,80,27
80.25,1,1,27,239,78,26
80.5,1,0,22,217,83,24
80.75,1,2,22,203,87,26
81.0,4,6,17,223,77,26
81.25,2,3,22,237,73,26
81.5,0,3,32,212,75,35
81.75,1,3,29,203,80,33
82.0,2,0,16,206,84,27
82.25,0,0,27,211,80,21
82.5,2,2,17,211,68,33
82.75,2,3,20,212,68,25
83.0,1,1,18,180,79,26
83.25,2,1,24,214,82,23
83.5,0,3,19,201,58,24
83.75,1,3,21,192,81,17
84.0,1,2,24,178,96,31
84.25,0,4,23,179,81,24
84.5,1,1,25,196,77,34
84.75,0,2,19,220,69,35
85.0,1,2,23,186,68,28
85.25,0,0,22,193,78,29
85.5,2,1,25,194,68,34
85.75,1,0,23,216,78,22
86.0,0,0,15,183,73,25
86.25,1,1,16,215,75,24
86.5,1,1,20,208,57,25
86.75,1,2,15,180,72,25
87.0,1,3,23,179,67,24
87.25,2,1,18,154,72,13
87.5,1,0,19,179,75,25
87.75,0,2,19,171,59,27
88.0,2,2,15,166,99,23
88.25,4,3,19,178,56,19
88.5,0,0,25,178,55,29
88.75,1,1,19,190,75,21
89.0,0,1,10,182,72,28
89.25,2,0,17,166,64,25
89.5,0,2,18,181,67,23
89.75,0,1,20,169,68,13
90.0,0,1,18,171,70,24
90.25,2,1,22,157,61,23
90.5,0,0,20,155,62,28
90.75,1,0,18,169,58,19
91.0,0,2,14,180,66,20
91.25,0,0,14,163,72,23
91.5,0,0,17,149,62,23
91.75,1,1,14,171,61,29
92.0,0,1,20,158,61,18
92.25,0,1,14,156,61,18
92.5,0,1,18,154,52,25
92.75,0,5,20,158,70,25
93.0,0,2,17,150,64,24
93.25,3,0,16,148,84,19
93.5,1,0,13,144,62,18
93.75,1,2,11,159,69,24
94.0,2,0,20,135,91,24
94.25,0,1,12,136,63,27
94.5,1,2,16,147,68,24
94.75,0,0,20,134,62,19
95.0,1,1,20,134,68,26
95.25,1,2,17,154,76,26
95.5,0,0,13,153,64,18
95.75,1,1,12,146,53,21
96.0,1,1,13,156,54,23
96.25,1,0,6,150,55,25
96.5,0,1,18,142,65,28
96.75,2,0,13,155,67,25
97.0,0,1,10,138,64,20
97.25,2,2,13,154,53,23
97.5,1,2,15,136,44,24
97.75,0,2,21,141,45,23
98.0,2,1,11,145,60,27
98.25,0,2,8,136,62,19
98.5,0,0,11,134,61,18
98.75,2,2,10,124,53,23
99.0,1,1,8,126,69,26
99.25,1,0,11,129,65,23
99.5,1,1,20,141,56,31
99.75,1,0,5,128,53,27
100.0,1,5,12,157,62,21
100.25,0,1,10,135,40,25
100.5,1,0,10,123,50,26
100.75,1,2,5,112,45,19
101.0,0,1,20,118,39,23
101.25,0,2,12,135,55,22
101.5,0,1,11,134,54,15
101.75,0,2,6,126,63,14
102.0,1,1,15,121,53,22
102.25,0,0,8,112,47,28
102.5,2,0,13,119,44,19
102.75,2,1,14,123,63,27
103.0,1,0,11,117,55,18
103.25,0,0,12,110,47,19
103.5,1,1,10,123,50,27
103.75,1,1,11,95,50,18
104.0,0,1,16,120,57,17
104.25,2,1,15,113,55,21
104.5,1,0,8,114,51,22
104.75,0,0,12,119,57,20
105.0,1,2,10,96,59,11
105.25,0,3,8,110,50,16
105.5,2,4,8,102,50,15
105.75,0,0,11,116,62,23
106.0,3,1,11,107,51,13
106.25,0,1,15,95,58,16
106.5,3,1,11,105,53,21
106.75,1,0,15,109,50,33
107.0,1,0,7,102,52,29
107.25,1,0,9,106,47,20
107.5,2,1,11,95,52,15
107.75,1,2,17,112,60,25
108.0,2,0,13,99,39,28
108.25,2,0,8,97,57,20
108.5,2,2,6,102,58,19
108.75,0,0,12,105,54,19
109.0,0,0,5,88,46,21
109.25,1,1,10,93,63,22
109.5,0,4,5,100,52,24
109.75,3,1,10,102,49,14
110.0,0,2,7,105,45,23
110.25,4,1,9,95,61,17
110.5,0,1,7,103,53,21
110.75,2,3,5,80,57,18
111.0,0,1,9,91,42,24
111.25,2,0,12,103,48,30
111.5,0,0,6,93,45,19
111.75,0,0,6,96,37,24
112.0,1,1,6,116,48,25
112.25,0,0,11,89,43,25
112.5,1,2,6,100,56,25
112.75,1,3,9,94,50,15
113.0,1,0,8,78,51,18
113.25,2,2,7,82,52,21
113.5,1,3,8,87,41,29
113.75,0,1,9,72,52,15
114.0,2,2,6,94,41,30
114.25,0,1,8,81,44,30
114.5,0,0,10,79,64,21
114.75,1,2,7,73,34,15
115.0,0,1,9,96,37,23
115.25,1,1,8,89,38,25
115.5,2,0,7,104,49,21
115.75,3,0,8,93,52,19
116.0,1,0,8,92,40,22
116.25,0,3,5,74,49,24
116.5,0,0,6,94,43,23
116.75,2,0,8,81,42,21
117.0,1,1,7,78,50,23
117.25,0,1,6,102,40,22
117.5,0,2,10,76,44,19
117.75,1,1,6,96,41,27
118.0,3,0,2,75,48,24
118.25,1,2,0,77,42,25
118.5,1,1,12,81,48,17
118.75,1,0,6,81,39,27
119.0,0,2,7,92,38,17
119.25,2,1,7,93,42,20
119.5,0,1,5,78,36,21
119.75,1,1,5,72,50,17
120.0,2,0,8,83,42,27
120.25,0,0,9,79,50,23
120.5,1,3,3,75,35,20
120.75,2,1,6,75,50,14
121.0,1,0,6,80,52,18
121.25,2,1,8,68,36,23
121.5,0,1,10,76,50,18
121.75,0,2,8,62,39,16
122.0,0,2,6,89,33,24
122.25,2,1,11,55,46,18
122.5,1,1,5,71,51,12
122.75,1,0,8,94,42,19
123.0,1,2,5,89,41,15
123.25,2,4,10,71,35,22
123.5,1,0,5,65,50,17
123.75,0,1,9,65,44,24
124.0,0,1,5,59,31,17
124.25,2,0,3,71,36,19
124.5,0,0,5,66,31,21
124.75,0,1,7,69,34,22
125.0,3,0,9,64,49,21
125.25,0,1,6,74,33,18
125.5,2,0,5,60,35,17
125.75,3,0,10,73,39,33
126.0,0,0,5,72,44,23
126.25,1,1,2,68,36,20
126.5,2,1,5,72,41,19
126.75,1,1,6,59,32,19
127.0,3,0,6,54,40,19
127.25,0,1,5,64,45,37
127.5,0,1,8,69,37,20
127.75,1,2,5,60,40,17
128.0,0,0,6,61,30,21
128.25,1,0,8,69,35,21
128.5,2,0,7,61,46,19
128.75,1,1,5,50,47,22
129.0,1,1,7,63,35,23
129.25,0,1,5,64,30,19
129.5,1,0,7,54,37,18
129.75,2,0,1,64,58,22
130.0,1,0,0,65,35,18
130.25,1,1,6,52,34,21
130.5,0,1,4,72,49,18
130.75,3,1,5,49,50,26
131.0,1,1,3,54,35,14
131.25,0,2,11,52,34,18
131.5,0,0,4,63,41,20
131.75,1,0,4,52,41,16
132.0,0,2,5,55,34,22
132.25,1,1,2,62,35,29
132.5,3,1,5,60,53,15
132.75,1,0,7,51,30,20
133.0,1,2,4,60,30,16
133.25,1,1,5,52,43,17
133.5,3,1,6,45,34,18
133.75,0,2,6,76,48,18
134.0,2,3,6,60,40,19
134.25,1,1,3,56,39,15
134.5,0,0,4,62,41,25
134.75,0,0,6,47,41,24
135.0,1,0,5,59,39,15
135.25,3,1,2,59,45,14
135.5,2,1,5,63,37,21
135.75,0,1,4,52,33,24
136.0,0,2,3,69,29,20
136.25,2,1,5,52,29,20
136.5,0,0,4,62,43,21
136.75,1,1,7,54,35,23
137.0,0,2,5,63,37,15
137.25,2,1,3,46,42,31
137.5,1,0,4,57,41,15
137.75,0,1,9,56,40,17
138.0,1,2,3,49,32,12
138.25,2,0,4,63,36,30
138.5,0,0,3,51,45,15
138.75,1,1,6,51,41,12
139.0,2,1,4,48,37,22
139.25,2,1,6,43,48,12
139.5,1,1,5,61,37,23
139.75,2,2,5,59,44,15
140.0,2,1,3,59,37,20
140.25,1,2,6,60,31,23
140.5,0,2,2,61,50,17
140.75,1,0,4,51,30,20
141.0,1,1,5,47,42,18
141.25,1,0,6,45,39,25
141.5,1,2,6,49,35,12
141.75,0,1,3,39,38,22
142.0,3,2,5,41,37,12
142.25,1,1,1,37,40,17
142.5,2,2,3,41,40,17
142.75,1,1,6,41,24,23
143.0,0,1,6,44,43,22
143.25,0,0,4,48,42,20
143.5,1,1,4,43,37,12
143.75,2,0,8,38,29,17
144.0,1,0,3,37,33,18
144.25,1,1,5,40,23,12
144.5,0,0,1,51,27,15
144.75,1,0,5,47,40,19
145.0,0,1,3,37,39,21
145.25,2,0,2,48,22,21
145.5,1,0,5,55,26,28
145.75,1,0,4,41,28,17
146.0,1,0,2,41,41,19
146.25,0,0,6,48,31,15
146.5,2,0,2,38,25,16
146.75,5,0,3,39,30,19
147.0,2,0,1,47,50,19
147.25,0,1,3,37,39,20
147.5,3,0,2,31,43,21
147.75,1,1,1,47,28,22
148.0,0,0,7,35,45,15
148.25,1,1,4,42,36,16
148.5,0,2,1,39,28,20
148.75,0,1,7,39,26,24
149.0,0,1,2,44,36,16
149.25,1,1,3,48,45,23
149.5,0,0,5,34,34,29
149.75,3,0,7,40,33,24
150.0,1,0,7,45,29,16
150.25,1,0,1,43,28,13
150.5,1,0,4,44,29,15
150.75,0,1,2,44,34,13
151.0,3,1,5,52,27,22
151.25,0,3,3,37,44,25
151.5,1,2,1,43,31,16
151.75,1,4,4,54,29,24
152.0,2,1,2,40,31,18
152.25,0,1,5,47,32,13
152.5,0,0,4,29,34,11
152.75,2,1,4,32,33,15
153.0,0,0,1,42,25,20
153.25,1,0,4,44,30,17
153.5,3,0,5,38,35,20
153.75,1,1,5,39,40,18
154.0,0,1,6,28,32,22
154.25,0,1,4,30,23,11
154.5,0,0,0,30,42,14
154.75,0,2,1,22,37,24
155.0,2,0,3,36,27,16
155.25,1,2,5,26,24,17
155.5,1,3,3,34,22,26
155.75,1,3,5,32,34,24
156.0,1,0,0,35,34,17
156.25,0,0,5,24,33,14
156.5,1,2,4,37,23,21
156.75,2,0,1,34,32,13
157.0,1,2,4,36,26,18
157.25,0,0,2,42,27,21
157.5,2,1,2,42,34,20
157.75,0,2,3,40,38,22
158.0,3,1,5,29,33,23
158.25,0,0,1,37,39,21
158.5,1,2,5,38,37,17
158.75,1,2,3,29,29,18
159.0,0,0,4,41,35,20
159.25,0,1,3,36,38,18
159.5,2,2,1,28,29,23
159.75,2,3,2,34,23,17
160.0,0,2,5,34,28,16
160.25,2,1,1,29,36,18
160.5,1,0,7,28,23,21
160.75,1,3,2,26,27,22
161.0,1,0,2,24,25,21
161.25,2,1,3,21,24,20
161.5,1,1,5,34,41,13
161.75,2,2,6,35,32,24
162.0,0,3,4,32,30,20
162.25,1,3,0,28,26,21
162.5,2,1,3,29,33,19
162.75,1,1,3,40,27,19
163.0,0,0,3,33,26,17
163.25,2,2,2,25,31,16
163.5,3,2,1,29,34,29
163.75,0,2,3,24,21,16
164.0,0,0,5,31,38,17
164.25,1,0,5,33,22,20
164.5,3,3,9,30,26,26
164.75,4,2,1,33,34,23
165.0,1,0,5,30,32,14
165.25,0,3,4,22,43,22
165.5,1,1,2,31,31,15
165.75,1,1,1,19,36,18
166.0,0,0,2,31,36,18
166.25,3,1,2,38,35,17
166.5,1,0,1,34,28,14
166.75,1,2,3,32,29,17
167.0,2,1,3,41,28,16
167.25,0,0,5,32,34,23
167.5,1,1,2,26,29,15
167.75,1,0,3,28,26,12
168.0,2,0,3,13,24,25
168.25,0,2,3,20,33,14
168.5,3,1,7,28,31,26
168.75,0,2,3,31,35,20
169.0,1,0,5,26,30,21
169.25,1,2,1,36,37,26
169.5,1,0,0,28,36,22
169.75,0,2,3,26,24,19
170.0,1,1,0,31,19,20
170.25,1,3,4,28,31,22
170.5,2,0,2,22,22,26
170.75,1,0,4,22,31,15
171.0,0,0,2,29,35,17
171.25,0,1,2,29,15,17
171.5,0,2,3,27,29,18
171.75,1,3,4,22,24,12
172.0,2,1,2,27,26,14
172.25,1,1,1,35,35,22
172.5,1,0,3,35,29,20
172.75,2,0,5,25,38,17
173.0,1,2,7,28,29,21
173.25,3,0,2,27,30,18
173.5,1,0,3,27,27,20
173.75,2,0,4,27,37,18
174.0,2,0,1,27,40,21
174.25,1,2,2,23,33,20
174.5,2,1,3,29,22,22
174.75,0,0,2,27,32,28
175.0,0,3,0,29,26,15
175.25,2,1,1,21,23,20
175.5,1,0,8,17,26,24
175.75,0,0,6,25,24,13
176.0,1,4,5,19,31,16
176.25,0,1,4,26,30,12
176.5,1,0,4,23,31,19
176.75,0,0,0,25,27,20
177.0,1,0,2,24,35,15
177.25,3,1,2,23,30,11
177.5,3,1,3,18,30,18
177.75,0,1,2,28,34,19
178.0,1,0,3,30,37,12
178.25,1,3,2,31,27,20
178.5,1,1,1,33,26,13
178.75,0,2,1,17,30,18
179.0,1,1,2,26,30,24
179.25,2,2,3,29,28,15
179.5,1,1,3,17,29,16
179.75,2,0,1,27,28,19
180.0,2,1,1,21,31,16
180.25,1,0,5,17,28,11
180.5,2,1,2,25,24,26
180.75,1,1,4,23,27,21
181.0,2,2,3,27,27,20
181.25,2,0,1,23,32,15
181.5,0,1,1,28,44,12
181.75,1,0,0,29,29,22
182.0,0,2,1,27,29,27
182.25,2,1,4,24,30,22
182.5,1,0,1,16,30,20
182.75,0,2,3,22,30,17
183.0,0,2,1,21,25,21
183.25,0,0,3,20,30,21
183.5,0,1,1,17,33,10
183.75,0,1,4,21,32,12
184.0,2,0,5,28,33,17
184.25,0,0,2,27,29,26
184.5,1,1,1,19,32,21
184.75,1,2,0,22,31,24
185.0,3,1,2,25,23,14
185.25,0,0,4,20,29,20
185.5,0,1,3,23,31,12
185.75,3,1,2,15,21,19
186.0,1,0,1,30,28,22
186.25,0,1,0,18,32,21
186.5,0,0,1,20,22,19
186.75,1,0,3,26,35,25
187.0,0,2,4,20,33,13
187.25,1,2,5,21,27,25
187.5,2,0,3,14,30,25
187.75,1,3,0,25,35,13
188.0,3,2,1,22,26,11
188.25,1,2,4,22,38,20
188.5,3,0,0,22,24,20
188.75,2,0,1,25,25,17
189.0,0,0,4,27,24,15
189.25,3,0,1,22,28,19
189.5,0,1,2,27,29,15
189.75,1,1,1,16,22,20
190.0,2,1,2,22,25,12
190.25,2,0,5,30,26,19
190.5,0,1,7,25,27,27
190.75,1,2,2,31,33,12
191.0,1,0,1,25,25,17
191.25,1,1,2,14,18,17
191.5,3,1,4,24,25,12
191.75,0,1,1,19,21,17
192.0,1,1,3,28,30,24
192.25,0,1,5,15,31,18
192.5,1,0,2,22,34,21
192.75,1,0,2,16,20,25
193.0,1,0,0,17,32,21
193.25,2,2,1,26,30,22
193.5,0,0,3,25,37,16
193.75,0,4,2,21,21,16
194.0,1,0,2,23,28,24
194.25,1,1,2,15,21,14
194.5,0,2,2,18,28,15
194.75,1,0,1,19,34,19
195.0,1,0,2,16,21,21
195.25,0,1,1,11,30,14
195.5,1,1,2,20,16,21
195.75,1,0,3,18,27,21
196.0,1,1,1,15,19,25
196.25,0,0,0,18,30,17
196.5,1,0,2,21,30,20
196.75,0,1,0,19,37,19
197.0,1,2,1,23,18,17
197.25,0,0,0,19,27,18
197.5,0,2,3,19,23,14
197.75,1,2,0,16,17,22
198.0,0,2,2,15,35,14
198.25,4,1,3,22,21,19
198.5,2,1,3,19,28,22
198.75,1,0,3,19,27,12
199.0,2,1,5,28,19,14
199.25,4,0,2,16,31,27
199.5,0,1,1,15,22,15
199.75,0,1,2,13,22,14
200.0,2,0,2,23,35,17
200.25,1,0,3,21,25,14
200.5,0,0,0,17,30,24
200.75,0,0,3,12,35,18
201.0,0,0,1,20,25,20
201.25,1,0,2,23,32,24
201.5,1,1,5,28,25,25
201.75,1,0,4,24,19,14
202.0,1,1,1,33,27,16
202.25,1,0,2,26,31,13
202.5,2,1,1,19,25,23
202.75,1,1,2,23,24,20
203.0,1,0,5,20,35,12
203.25,1,1,1,16,24,20
203.5,1,0,3,17,30,21
203.75,1,1,2,13,23,21
204.0,0,2,8,19,30,19
204.25,1,0,3,18,19,23
204.5,0,1,7,25,32,16
204.75,2,0,1,22,23,16
205.0,0,1,2,26,29,18
205.25,0,1,1,19,21,15
205.5,1,2,5,17,33,11
205.75,0,0,3,17,21,25
206.0,2,0,1,11,24,17
206.25,2,4,3,14,14,19
206.5,1,0,1,22,21,28
206.75,0,2,3,22,31,20
207.0,3,2,2,22,39,27
207.25,2,0,0,14,31,14
207.5,1,0,1,19,27,20
207.75,0,1,2,13,43,18
208.0,5,0,3,13,24,19
208.25,3,1,0,13,32,18
208.5,0,1,0,25,27,23
208.75,1,1,2,17,18,24
209.0,2,1,3,16,23,22
209.25,4,0,3,16,17,16
209.5,1,0,2,16,22,18
209.75,2,1,0,11,25,19
210.0,2,0,2,15,31,17
210.25,0,1,6,12,22,22
210.5,1,1,5,14,21,21
210.75,2,0,4,16,23,18
211.0,1,1,1,13,16,18
211.25,2,2,2,13,28,11
211.5,0,1,0,18,24,20
211.75,0,1,5,11,27,11
212.0,0,1,4,16,33,19
